"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"05/09/2019","28","","RIVER TERRACE","11-001-0041","AQS"
"05/10/2019","25","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/11/2019","29","","RIVER TERRACE","11-001-0041","AQS"
"05/12/2019","9","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/13/2019","13","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/14/2019","15","","Near Road","11-001-0051","AQS"
"05/15/2019","23","","RIVER TERRACE","11-001-0041","AQS"
"05/16/2019","59","","Near Road","11-001-0051","AQS"
"05/17/2019","51","","Near Road","11-001-0051","AQS"
"05/18/2019","64","","Near Road","11-001-0051","AQS"
"05/19/2019","57","","Near Road","11-001-0051","AQS"
"05/20/2019","46","","King Greenleaf Rec Center","11-001-0053","AQS"
"05/21/2019","20","","Near Road","11-001-0051","AQS"
"05/22/2019","27","","Near Road","11-001-0051","AQS"
"05/23/2019","50","","Near Road","11-001-0051","AQS"
"05/24/2019","65","","Near Road","11-001-0051","AQS"
"05/25/2019","39","","Near Road","11-001-0051","AQS"
"05/26/2019","58","","Near Road","11-001-0051","AQS"
"05/27/2019","52","","Near Road","11-001-0051","AQS"
"05/28/2019","54","","Near Road","11-001-0051","AQS"
"05/29/2019","54","","Near Road","11-001-0051","AQS"
"05/30/2019","34","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"05/31/2019","37","","King Greenleaf Rec Center","11-001-0053","AQS"
"06/01/2019","49","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/02/2019","57","","RIVER TERRACE","11-001-0041","AQS"
"06/03/2019","22","","RIVER TERRACE","11-001-0041","AQS"
"06/04/2019","28","","Near Road","11-001-0051","AQS"
"06/05/2019","58","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/06/2019","55","","Near Road","11-001-0051","AQS"
"06/07/2019","47","","Near Road","11-001-0051","AQS"
"06/08/2019","37","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/09/2019","26","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/10/2019","23","","Near Road","11-001-0051","AQS"
"06/11/2019","13","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/12/2019","30","","Near Road","11-001-0051","AQS"
"06/13/2019","21","","Near Road","11-001-0051","AQS"
"06/14/2019","18","","Near Road","11-001-0051","AQS"
"06/15/2019","32","","Near Road","11-001-0051","AQS"
"06/16/2019","52","","RIVER TERRACE","11-001-0041","AQS"
"06/17/2019","46","","RIVER TERRACE","11-001-0041","AQS"
"06/18/2019","38","","Near Road","11-001-0051","AQS"
"06/19/2019","36","","Near Road","11-001-0051","AQS"
"06/20/2019","36","","Near Road","11-001-0051","AQS"
"06/21/2019","17","","King Greenleaf Rec Center","11-001-0053","AQS"
"06/22/2019","18","","Near Road","11-001-0051","AQS"
"06/23/2019","32","","Near Road","11-001-0051","AQS"
"06/24/2019","45","","King Greenleaf Rec Center","11-001-0053","AQS"
"06/25/2019","34","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/26/2019","34","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/27/2019","43","","RIVER TERRACE","11-001-0041","AQS"
"06/28/2019","54","","RIVER TERRACE","11-001-0041","AQS"
"06/29/2019","44","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"06/30/2019","27","","King Greenleaf Rec Center","11-001-0053","AQS"
"07/01/2019","23","","King Greenleaf Rec Center","11-001-0053","AQS"
"07/02/2019","48","","RIVER TERRACE","11-001-0041","AQS"
"07/03/2019","38","","RIVER TERRACE","11-001-0041","AQS"
"07/04/2019","157","","RIVER TERRACE","11-001-0041","AQS"
"07/05/2019","62","","RIVER TERRACE","11-001-0041","AQS"
"07/06/2019","55","","Near Road","11-001-0051","AQS"
"07/07/2019","32","","MCMILLAN  NCore-PAMS","11-001-0043","AQS"
"07/08/2019","40","","Near Road","11-001-0051","AQS"
"07/09/2019","49","","Near Road","11-001-0051","AQS"
"07/10/2019","46","","Near Road","11-001-0051","AQS"
"07/11/2019","39","","Near Road","11-001-0051","AQS"
"07/12/2019","33","","RIVER TERRACE","11-001-0041","AQS"
